Symbol,Company,Price,Percentage_Net_Change,Volume,Average_Volume,Date
CNQ,Canadian Natural Resources Limited,46.32,2.387,9433498.0,15944555.0,2025-06-17
SU,Suncor Energy Inc.,55.92,1.286,1784276.0,14456578.0,2025-06-17
MFC,Manulife Financial Corporation,42.0,-0.897,1171206.0,10134040.0,2025-06-17
WCP,Whitecap Resources Inc.,9.58,3.456,5429577.0,9055901.0,2025-06-17
CVE,Cenovus Energy Inc.,20.155,1.332,2789909.0,8074908.0,2025-06-17
ENB,Enbridge Inc.,62.575,0.264,1268932.0,7646509.0,2025-06-17
IVN,Ivanhoe Mines Ltd.,10.53,-1.589,1316887.0,7075816.0,2025-06-17
GWO,Great-West Lifeco Inc.,50.02,-3.268,670491.0,5398349.0,2025-06-17
BTE,Baytex Energy Corp.,2.885,5.678,5334703.0,5202972.0,2025-06-17
HND,BetaPro Natural Gas Inverse Leveraged Daily Bear ETF,5.95,-3.409,2619774.0,4393088.0,2025-06-17
DSV,Discovery Silver Corp.,3.49,4.805,2612190.0,4260607.0,2025-06-17
TD,Toronto-Dominion Bank (The),96.47,0.01,1465393.0,4223205.0,2025-06-17
BNS,Bank of Nova Scotia (The),74.08,-0.51,1173942.0,4054171.0,2025-06-17
AGI,Alamos Gold Inc.,36.59,0.329,484204.0,4032501.0,2025-06-17
RY,Royal Bank of Canada,174.35,-0.366,564260.0,3876800.0,2025-06-17
SLF,Sun Life Financial Inc.,87.16,-0.774,260005.0,3714193.0,2025-06-17
AC,Air Canada Voting and Variable Voting Shares,18.735,-0.873,1501229.0,3595202.0,2025-06-17
DML,Denison Mines Corp.,2.44,-3.175,1733954.0,3571537.0,2025-06-17
ABX,Barrick Mining Corporation,29.13,0.103,1478268.0,3506179.0,2025-06-17
BAM,Brookfield Asset Management Ltd. Class A Limited Voting Shares,73.48,-1.356,232124.0,3444471.0,2025-06-17
BTO,B2Gold Corp.,5.03,0.6,1192240.0,3235972.0,2025-06-17
K,Kinross Gold Corporation,21.24,0.426,1642029.0,3231198.0,2025-06-17
PPL,Pembina Pipeline Corporation,51.66,1.135,1874343.0,2992219.0,2025-06-17
CM,Canadian Imperial Bank Of Commerce,93.18,-0.15,793120.0,2973897.0,2025-06-17
T,TELUS Corporation,21.745,-0.753,876161.0,2973865.0,2025-06-17
BCE,BCE Inc.,30.0,-1.348,1543309.0,2960333.0,2025-06-17
LUN,Lundin Mining Corporation,13.88,-1.769,958687.0,2805066.0,2025-06-17
AQN,Algonquin Power & Utilities Corp.,7.845,-1.196,412146.0,2774126.0,2025-06-17
TRP,TC Energy Corporation,66.09,-1.048,892189.0,2667023.0,2025-06-17
CS,Capstone Copper Corp.,7.565,-2.513,853803.0,2627524.0,2025-06-17
XIU,iShares S&P/TSX 60 Index ETF,39.83,-0.425,1109042.0,2611354.0,2025-06-17
WEED,Canopy Growth Corporation,1.85,-6.091,1422171.0,2354071.0,2025-06-17
THRM,Therma Bright Inc.,0.015,50.0,2000.0,2338645.0,2025-06-17
BMO,Bank of Montreal,144.88,-0.214,554902.0,2207287.0,2025-06-17
BLDP,Ballard Power Systems Inc.,2.155,-10.581,1054558.0,2181892.0,2025-06-17
MG,Magna International Inc.,50.58,-1.595,212527.0,2172933.0,2025-06-17
AG,First Majestic Silver Corp.,11.51,2.402,1157298.0,2158614.0,2025-06-17
NGD,New Gold Inc.,6.68,1.366,622895.0,2132595.0,2025-06-17
USA,Americas Gold and Silver Corporation,1.13,4.63,614571.0,2129808.0,2025-06-17
FM,First Quantum Minerals Ltd.,21.22,-1.118,597021.0,2022852.0,2025-06-17
NXE,NexGen Energy Ltd.,9.34,-1.581,946337.0,2001405.0,2025-06-17
NA,National Bank of Canada,135.44,-0.368,230882.0,1938488.0,2025-06-17
TVE,Tamarack Valley Energy Ltd.,4.96,1.639,1578835.0,1902031.0,2025-06-17
WRLG,West Red Lake Gold Mines Ltd.,0.82,-2.381,3792894.0,1886261.0,2025-06-17
POW,Power Corporation of Canada Subordinate Voting Shares,52.13,-2.451,536597.0,1856828.0,2025-06-17
OGC,OceanaGold Corporation,6.855,-0.218,698662.0,1833922.0,2025-06-17
IMG,IAMGOLD Corporation,10.28,1.381,736639.0,1808540.0,2025-06-17
